Date,IBM_Close,TSMC_Close
4-Jan-16,135.95,22.09
5-Jan-16,135.85,21.95
6-Jan-16,135.17,21.34
7-Jan-16,132.86,21.1
8-Jan-16,131.63,20.81
11-Jan-16,133.23,20.93
12-Jan-16,132.9,20.75
13-Jan-16,131.17,20.48
14-Jan-16,132.91,21.82
15-Jan-16,130.03,21.1
19-Jan-16,128.11,21.66
20-Jan-16,121.86,21.09
21-Jan-16,122.91,21.33
22-Jan-16,122.5,21.93
25-Jan-16,122.08,21.79
26-Jan-16,122.59,21.59
27-Jan-16,120.96,21.68
28-Jan-16,122.22,21.63
29-Jan-16,124.79,22.35
1-Feb-16,124.83,22.46
2-Feb-16,122.94,22.56
3-Feb-16,124.72,22.92
4-Feb-16,127.65,23.23
5-Feb-16,128.57,22.75
8-Feb-16,126.98,22.8
9-Feb-16,124.07,22.56
10-Feb-16,120.19,22.3
11-Feb-16,117.85,22
12-Feb-16,121.04,22.24
16-Feb-16,122.74,23.34
17-Feb-16,126.1,23.64
18-Feb-16,132.45,23.8
19-Feb-16,133.08,23.78
22-Feb-16,133.77,23.96
23-Feb-16,132.4,23.4
24-Feb-16,132.8,23.42
25-Feb-16,134.5,23.69
26-Feb-16,132.03,23.77
29-Feb-16,131.03,23.55
1-Mar-16,134.37,24.58
2-Mar-16,136.3,24.62
3-Mar-16,137.8,24.56
4-Mar-16,137.8,24.65
7-Mar-16,140.15,24.7
8-Mar-16,139.07,24.65
9-Mar-16,140.41,24.74
10-Mar-16,140.19,24.74
11-Mar-16,142.36,25.35
14-Mar-16,142.78,25.22
15-Mar-16,142.96,24.88
16-Mar-16,144.79,25.78
17-Mar-16,147.04,25.77
18-Mar-16,147.09,26.04
21-Mar-16,148.63,25.93
22-Mar-16,148.1,25.81
23-Mar-16,145.4,25.68
24-Mar-16,147.95,25.73
28-Mar-16,148.4,25.63
29-Mar-16,149.33,25.97
30-Mar-16,148.41,26.46
31-Mar-16,151.45,26.2
1-Apr-16,152.52,26.12
4-Apr-16,152.07,25.85
5-Apr-16,150,25.51
6-Apr-16,150.02,25.62
7-Apr-16,148.25,25.37
8-Apr-16,149.35,25.28
11-Apr-16,149.25,25.51
12-Apr-16,149.63,25.57
13-Apr-16,151.23,26.17
14-Apr-16,151.16,25.3
15-Apr-16,151.72,25.46
18-Apr-16,152.53,25.5
19-Apr-16,144,25.16
20-Apr-16,146.11,25.12
21-Apr-16,149.3,25.16
22-Apr-16,148.5,25.07
25-Apr-16,148.81,25.01
26-Apr-16,149.08,25.01
27-Apr-16,150.47,25.25
28-Apr-16,147.07,24.16
29-Apr-16,145.94,23.59
2-May-16,145.27,23.69
3-May-16,144.13,23.32
4-May-16,144.25,23.42
